"auth.name","2016","2017","2018","2019","2020","change","change.4","prop.income"
"Ipswich",2.578,2.577,3.336,3.271,3.26,-0.336288596759402,6.04340683178035,120.339608711702
"Devon",3.527,3.746,5.636,4.017,3.245,-19.2183221309435,-2.06175659304703,65.489404641776
"East Riding of Yorkshire",2.557,2.696,2.53,2.815,3.238,15.0266429840142,6.08073718294098,122.651515151515
"East Hertfordshire",3.699,3.499,3.494,3.4,3.105,-8.67647058823529,-4.28184512097595,105.900409276944
"Southend-on-Sea",2.924,2.821,2.99,3.541,3.072,-13.2448460886755,1.24205708210186,65.333900467886
"York",2.447,2.578,2.776,3.014,3.023,0.298606502986075,5.42680480601874,73.4986627765621
"Shropshire",2.435,2.3177254856,2.523989311,3.031,3.016,-0.494886176179492,5.49529548798329,117.628705148206
"Chelmsford",3.106,3.09649,2.83409,3.039,2.98,-1.94142810134913,-1.02996971248377,98.7408880053015
"St Albans",2.373,2.275,4.87501825172315,3.819,2.979,-21.9952867242734,5.85056761966971,111.239731142644
"Winchester",2.531,2.522,2.708,3.322,2.962,-10.8368452739314,4.0095523620705,115.929549902153
"Lancashire",1.802,2.124,2.546,2.802,2.945,5.10349750178443,13.0661561964454,127.213822894168
"Horsham",2.457,2.819,2.831,2.903,2.879,-0.826730967964167,4.04210422303657,103.486700215672
"Tunbridge Wells",3.618,3.161,3.008,3.424,2.863,-16.3843457943925,-5.68338701332945,90.8600444303396
"West Sussex",2.926,3.067,3.287,3.612,2.857,-20.9025470653378,-0.5948283331358,95.3923205342237
"Derby City",2.435,2.06351,2.646,2.735,2.855,4.38756855575868,4.05831442576392,120.82099026661
"Kirklees",2.948,3.091,3.147,3.251,2.829,-12.9806213472777,-1.02480477221558,498.941798941799
"South Lakeland",2.33,2.958,2.823,2.65,2.754,3.92452830188678,4.26823059156825,93.5144312393888
"Blackpool",2.702,2.73,2.932,2.697,2.7,0.111234705228028,-0.018509949890444,78.4427658338176
"Swindon",3.102,2.773,2.934,2.953,2.699,-8.60142228242465,-3.41931690046842,98.00290486565
"Solihull",1.852,2.012,2.53408345311726,2.745,2.604,-5.13661202185793,8.89300917978286,147.535410764873
"East Suffolk",NA,NA,NA,2.076,2.495,20.1830443159923,NA,94.8669201520913
"Torbay",2.574,2.598,2.349,2.34,2.436,4.10256410256412,-1.36814858009271,46.9183359013867
"Sunderland",2.195,2.216,2.356,2.399,2.417,0.750312630262599,2.43786808754722,163.090418353576
"Luton",2.805,2.233,2.416,2.67,2.41,-9.73782771535579,-3.72333361753047,107.78175313059
"Exeter",2.203,2.309,2.548,2.722,2.398,-11.9030124908156,2.14301439657225,69.2863334296446
"Sefton",2.563,2.423,2.457,2.552,2.371,-7.09247648902821,-1.9278408171744,80.9491293956982
"Lincoln",1.819,1.992,2.332,2.564,2.367,-7.6833073322933,6.80495213293819,113.743392599712
"Stevenage",1.9127,2.231,2.44,2.643,2.35,-11.0858872493379,5.28227263508978,126.412049488973
"Chichester",2.058,2.095,2.252,2.468,2.325,-5.79416531604538,3.09661274350141,72.294776119403
"Stockport",2.558,2.86,2.7275,2.545,2.281,-10.3732809430255,-2.82463371892276,132.539221382917
"North Somerset",2.43640292,2.232,2.144,2.204,2.278,3.35753176043556,-1.6665781710158,109.414024975985
"Slough",2.28616752,2.17183941,2.256,2.497,2.224,-10.9331197436924,-0.686866890096149,196.466431095406
"Wakefield",2.217828526736,2.166,2.338,2.329,2.194,-5.79647917561186,-0.269691034280695,1346.01226993865
"Thanet",2.071,2.286,2.006,2.307,2.179,-5.54833116601647,1.27897160602333,78.1003584229391
"Northampton",NA,NA,2.518,2.055,2.155,4.86618004866178,NA,158.689248895434
"Oldham",2.043,1.949,2.067,2.268,2.148,-5.29100529100528,1.26082878096068,126.352941176471
"Elmbridge",2.297,1.849,1.441591,2.375,2.144,-9.72631578947369,-1.70850369193274,136.821952776005
"Warwick",1.647,2.062,2.177,2.24,2.074,-7.41071428571431,5.93239426037553,202.93542074364
"Northumberland",1.873,1.845,2.063,2.144,2.054,-4.19776119402987,2.33299042310555,157.274119448698
"North Yorkshire",5.328,6.001,4.99,4.499,2.048,-54.4787730606801,-21.2607209435022,316.049382716049
"North Hertfordshire",2.174,2.648,1.925,2.309,2.011,-12.9060199220442,-1.92955798704623,137.457279562543
"Peterborough",1.571,1.747,2.23,3.157,2.008,-36.3953120050681,6.32781291690552,146.249089584851
"New Forest",1.923,1.952,1.986,2.187,1.99,-9.00777320530406,0.859880215906172,77.9475127301214
"Bracknell Forest",0.149,0.152,0.087,0.129,1.926,1393.02325581395,89.6127354369539,159.305210918114
"Worcester",1.279,1.42,1.716,1.956,1.926,-1.53374233128835,10.7761926762414,113.829787234043
"Wigan",1.927,1.961,1.904,1.832,1.918,4.6943231441048,-0.116966864648849,187.3046875
"Maidstone",1.584,1.884,2.019,2.108,1.913,-9.25047438330171,4.83105300063271,84.7585290208241
"Hastings",0.998,1.018,1.052,1.787,1.874,4.86849468382766,17.060334645372,94.9822605169792
"Gateshead",1.595,1.602,1.589,1.753,1.871,6.7313177410154,4.07065190714835,139.314966492926
"Ashford",1.104,1.7153899,2.05321103,2.085,1.868,-10.4076738609113,14.0517489981749,162.012142237641
"Epsom & Ewell",1.472,1.742,1.805,1.926,1.863,-3.27102803738318,6.06601717798212,92
"Tonbridge & Malling",1.799,1.6,1.895,2.023,1.801,-10.97380128522,0.0277816390183094,95.6960680127524
"Mid Sussex",1.38,1.499,1.492,1.705,1.774,4.04692082111437,6.48014460854218,112.706480304956
"Milton Keynes",2.733,2.743,2.441,2.956,1.774,-39.9864682002706,-10.2408986323132,49.901547116737
"Crawley",1.799,2.083,2.364,3.06,1.764,-42.3529411764706,-0.489970643045901,112.356687898089
"Scarborough",1.495,1.341,1.461,1.931,1.762,-8.75194199896427,4.19363220295998,46.7870419543282
"Gloucestershire",1.959,2.119,2.238,2.953,1.752,-40.6705045716221,-2.75329021550517,73.9240506329114
"Northamptonshire",2.04405539303281,1.77704701098908,1.626,1.456,1.733,19.0247252747253,-4.04304115172988,100
"Sevenoaks",1.557,1.542,1.546,1.613,1.727,7.06757594544327,2.62447094831397,101.053247513166
"Calderdale",1.538,1.458,1.512,1.395,1.708,22.4372759856631,2.65565602647992,109.20716112532
"Leicestershire",1.348,1.998,1.974,1.993,1.689,-15.253386853989,5.79982256273384,127.857683573051
"Folkestone & Hythe",NA,NA,NA,NA,1.662,NA,NA,96.1249277038751
"Bolton",1.477,1.681,1.459,1.918,1.659,-13.5036496350365,2.94765837010258,77.5596072931276
"Harrogate",1.654,1.855,1.907,1.582,1.641,3.72945638432363,-0.197075163722571,112.474297464016
"Wychavon",0.904,1.3,1.498,1.711,1.632,-4.61718293395677,15.9145439778645,133.442354865086
"South Hams",1.366,1.544,1.64,1.833,1.615,-11.8930714675396,4.27506202138987,68.1434599156118
"Isle of Wight",1.176,1.293,1.253,1.494,1.614,8.03212851405624,8.23657774542079,55.9639389736477
"Wolverhampton",1.654,1.379,1.411,1.541,1.608,4.34782608695654,-0.702655397849872,151.412429378531
"Allerdale",1.492,2.092,1.686,1.66,1.607,-3.19277108433734,1.87362578382748,106.212822207535
"Stratford-on-Avon",1.27,1.412,1.583,1.643,1.605,-2.31284236153378,6.02733094870136,131.449631449631
"Dudley",2.209,2.326,1.423,1.368,1.596,16.6666666666667,-7.80459153114158,405.07614213198
"Dacorum",1.692,1.625,1.457,1.78,1.588,-10.7865168539326,-1.57338831989834,115.406976744186
"Spelthorne",1.66,1.533,1.524,1.796,1.586,-11.6926503340757,-1.13358789851543,171.459459459459
"Basingstoke & Deane",1.444,1.486,1.603,1.412,1.56,10.4815864022663,1.95049794187141,148.997134670487
"West Berkshire",1.708,1.704,1.742,1.785,1.56,-12.6050420168067,-2.24045242846218,40.6567630961689
"Stafford",1.619,1.759,1.421,1.561,1.557,-0.256245996156309,-0.971445233871171,142.713107241063
"Great Yarmouth",2.056,2.187,1.756,1.761,1.538,-12.6632595116411,-6.99992339517385,95.6467661691542
"Kingston upon Hull",1.474,1.384,1.538,1.794,1.538,-14.2697881828317,1.06824233022009,92.2615476904619
"Waverley",1.692,1.55,1.807,1.802,1.538,-14.6503884572697,-2.35747666291032,60.1956947162427
"East Hampshire",0.82,0.88952767,0.716,1.277,1.535,20.203602192639,16.9697688986487,102.813127930342
