"","Date","Cost.of.Living","Seasonally adjusted total pay excluding arrears","CPIH"
"36",2016-03-01,4.6492985971944,3.57894736842105,2.44897959183675
"37",2016-04-01,4.7695390781563,3.78947368421052,2.65306122448979
"38",2016-05-01,5.05010020040082,3.78947368421052,2.85714285714285
"39",2016-06-01,5.45090180360724,3.78947368421052,3.0612244897959
"40",2016-07-01,5.57114228456912,4.42105263157895,2.9591836734694
"41",2016-08-01,5.97194388777554,4.21052631578947,3.26530612244898
"42",2016-09-01,6.17234468937875,4.21052631578947,3.57142857142858
"43",2016-10-01,6.13226452905813,4.63157894736842,3.67346938775511
"44",2016-11-01,6.41282565130261,4.84210526315789,3.87755102040816
"45",2016-12-01,7.05410821643287,4.42105263157895,4.28571428571429
"46",2017-01-01,6.41282565130261,4.63157894736842,3.87755102040816
"47",2017-02-01,7.57515030060118,5.05263157894737,4.48979591836735
"48",2017-03-01,7.93587174348698,5.68421052631578,4.79591836734694
"49",2017-04-01,8.45691382765533,5.68421052631578,5.30612244897959
"50",2017-05-01,8.89779559118236,5.89473684210526,5.61224489795917
"51",2017-06-01,9.13827655310622,6.73684210526315,5.61224489795917
"52",2017-07-01,9.37875751503006,6.10526315789474,5.61224489795917
"53",2017-08-01,10.1002004008016,6.73684210526315,6.12244897959184
"54",2017-09-01,10.2605210420842,7.1578947368421,6.42857142857143
"55",2017-10-01,10.3406813627255,6.94736842105263,6.53061224489797
"56",2017-11-01,10.5410821643287,7.1578947368421,6.83673469387756
"57",2017-12-01,11.4629258517034,7.57894736842107,7.14285714285714
"58",2018-01-01,10.6212424849699,7.36842105263158,6.63265306122449
"59",2018-02-01,11.4629258517034,8,7.04081632653062
"60",2018-03-01,11.5430861723447,9.26315789473684,7.24489795918366
"61",2018-04-01,12.1042084168337,8,7.65306122448979
"62",2018-05-01,12.5050100200401,8.42105263157895,8.06122448979592
"63",2018-06-01,12.8256513026052,9.05263157894738,8.06122448979592
"64",2018-07-01,12.9058116232465,9.47368421052633,8.06122448979592
"65",2018-08-01,13.9078156312625,10.1052631578947,8.67346938775511
"66",2018-09-01,13.8677354709419,10.3157894736842,8.77551020408163
"67",2018-10-01,14.0280561122244,11.578947368421,8.87755102040816
"68",2018-11-01,14.0681362725451,10.5263157894737,9.08163265306123
"69",2018-12-01,14.4689378757515,10.9473684210526,9.28571428571428
"70",2019-01-01,13.4268537074148,11.3684210526316,8.57142857142858
"71",2019-02-01,14.2284569138277,11.7894736842105,8.97959183673468
"72",2019-03-01,14.2685370741483,12.2105263157895,9.18367346938776
"73",2019-04-01,15.5110220440882,12.2105263157895,9.79591836734693
"74",2019-05-01,15.9118236472946,12.6315789473684,10.1020408163265
"75",2019-06-01,16.0721442885772,13.2631578947368,10.1020408163265
"76",2019-07-01,16.0320641282565,13.8947368421053,10.204081632653
"77",2019-08-01,16.9138276553106,13.6842105263158,10.5102040816327
"78",2019-09-01,16.6332665330661,14.9473684210526,10.6122448979592
"79",2019-10-01,16.3927855711423,14.1052631578947,10.5102040816327
"80",2019-11-01,16.6332665330661,14.1052631578947,10.7142857142857
"81",2019-12-01,16.9939879759519,13.6842105263158,10.7142857142857
"82",2020-01-01,16.4729458917836,14.7368421052632,10.5102040816327
"83",2020-02-01,17.0340681362726,14.9473684210526,10.8163265306122
"84",2020-03-01,17.2745490981964,14.1052631578947,10.8163265306122
"85",2020-04-01,17.2745490981964,10.9473684210526,10.8163265306122
"86",2020-05-01,17.1142284569138,11.1578947368421,10.8163265306122
"87",2020-06-01,17.314629258517,11.578947368421,11.0204081632653
"88",2020-07-01,17.9158316633266,13.6842105263158,11.4285714285714
"89",2020-08-01,17.5551102204409,15.7894736842105,11.0204081632653
"90",2020-09-01,17.9559118236473,17.2631578947368,11.4285714285714
"91",2020-10-01,17.9559118236473,18.3157894736842,11.4285714285714
"92",2020-11-01,17.6352705410822,20,11.3265306122449
"93",2020-12-01,18.3967935871743,19.3684210526316,11.6326530612245
"94",2021-01-01,18.0761523046092,20,11.530612244898
"95",2021-02-01,18.6372745490982,19.5789473684211,11.6326530612245
"96",2021-03-01,18.997995991984,17.6842105263158,11.9387755102041
"97",2021-04-01,20.6813627254509,21.0526315789474,12.6530612244898
"98",2021-05-01,21.002004008016,22.1052631578947,13.265306122449
"99",2021-06-01,21.8436873747495,21.2631578947368,13.6734693877551
"100",2021-07-01,22.4448897795591,22.1052631578947,13.6734693877551
"101",2021-08-01,23.2064128256513,22.5263157894737,14.3877551020408
"102",2021-09-01,23.687374749499,23.3684210526316,14.6938775510204
"103",2021-10-01,25.0501002004008,23.7894736842105,15.7142857142857
"104",2021-11-01,25.9719438877756,23.5789473684211,16.4285714285714
"105",2021-12-01,27.3346693386773,26.9473684210526,17.0408163265306
"106",2022-01-01,27.3346693386773,25.8947368421053,16.9387755102041
"107",2022-02-01,28.3366733466934,25.6842105263158,17.7551020408163
"108",2022-03-01,29.6593186372746,29.2631578947368,18.8775510204082
"109",2022-04-01,34.1082164328657,27.1578947368421,21.4285714285714
"110",2022-05-01,35.1102204408818,27.3684210526316,22.1428571428572
"111",2022-06-01,36.2725450901804,28.8421052631579,22.9591836734694
"112",2022-07-01,37.5551102204409,29.2631578947368,23.6734693877551
"113",2022-08-01,38.3567134268537,30.1052631578947,24.2857142857143
"114",2022-09-01,39.3186372745491,30.7368421052632,24.7959183673469
"115",2022-10-01,42.7655310621242,31.5789473684211,26.8367346938775
"116",2022-11-01,43.6072144288577,32.2105263157895,27.3469387755102
"117",2022-12-01,44.4488977955912,33.0526315789474,27.8571428571428
"118",2023-01-01,44.4088176352705,33.4736842105263,27.3469387755102
"119",2023-02-01,46.0921843687375,34.3157894736842,28.5714285714286
"120",2023-03-01,47.1743486973948,NA,NA
