"auth.name","2015","2016","2017","2018","2019"
"Ipswich",NA,65.3816890692366,66.6063582321013,69.8638743455497,67.6245606781063
"East Hertfordshire",NA,81.4219678626458,72.7442827442827,70.3867848509267,67.6078743288924
"Rushmoor",NA,62.2673434856176,63.6173767752715,69.8120595144871,67.2933803368586
"Hillingdon",NA,68.0681659449644,66.9713329330752,64.8652185291809,66.9597472180245
"Kirklees",NA,59.6640356203198,61.0628210193599,63.9894265961773,66.0503860219423
"Broxbourne",NA,55.6529360210342,59.8452278589854,64.3337819650067,65.983606557377
"South Holland",NA,69.6113074204947,76.4227642276423,81.1659192825112,65.9751037344398
"Dover",NA,54.0483255616787,55.2822580645161,70.0305810397553,65.7041314971124
"Wyre Forest",NA,67.053998632946,62.9952988582942,63.4679020516214,65.0666666666667
"St Albans",NA,62.185534591195,56.4796425024826,73.1696999664819,65.0263919632215
"Newcastle-under-Lyme",NA,44.8082319925164,47.1241170534813,52.3760330578512,64.9167733674776
"Aylesbury Vale",NA,NA,NA,62.1207477781183,64.7285464098074
"Mid Devon",NA,45.2399012777656,51.4892480299185,58.1578947368421,63.8644918444166
"Thurrock",NA,88.0195599022005,68.3531746031746,68.4310018903592,63.7083993660856
"Wakefield",NA,63.3486566883047,68.9369828134946,65.4901960784314,63.6686714051394
"Thanet",NA,74.389367816092,79.2099792099792,55.0645072742245,63.4662998624484
"New Forest",NA,63.5282457879088,63.130659767141,54.1291905151267,63.4096839663671
"Bradford",NA,50.512070226774,52.8155706727135,77.6223776223776,63.3178005591799
"Portsmouth",NA,47.8395061728395,49.5246326707001,53.7902991577113,63.0586592178771
"West Devon",NA,58.7221095334686,72.1542803386642,61.9593998234775,63.0244755244755
"Staffordshire Moorlands",NA,65.4098360655738,65.9159159159159,63.0041724617524,63.0041724617524
"Selby",NA,37.3563218390805,47.8827361563518,-37.9310344827586,62.962962962963
"Wirral",NA,53.7688442211055,55.0579768092763,59,62.8387096774194
"Malvern Hills",NA,42.7722772277228,40.4255319148936,46.9473684210526,62.7962085308057
"Darlington",NA,54.397885994715,55.1169030279801,56.2960092987214,62.6716604244694
"Stroud",NA,60.4558969276511,49.3670886075949,87.6360039564787,62.5
"Stafford",NA,64.8897795591182,67.7842003853565,57.2983870967742,62.3402555910543
"Hertsmere",NA,68.6285714285714,65.978835978836,55.3992968357609,61.9958634953464
"Stratford-on-Avon",NA,52.3279769262464,54.0996168582375,55.4660126138753,61.8599397590361
"Enfield",NA,67.2162529113004,105.147568455214,75.8105068148736,61.5195125113445
"Chesterfield",NA,57.957244655582,61.9469026548673,55.8532563891179,61.2903225806452
"Bassetlaw",NA,68.1818181818182,64.2857142857143,61.2873980054397,60.9620721554116
"East Hampshire",NA,41.041041041041,37.9503263982787,35.0980392156863,60.406811731315
"Preston",NA,49.2516037063436,44.2648190916089,59.4777562862669,59.8684210526316
"Cambridgeshire",NA,48.5870384325546,54.40125501133,65.6365997942387,59.8505434782609
"Mid Sussex",NA,51.588785046729,55.0293685756241,52.2775052557814,59.304347826087
"West Suffolk",NA,NA,NA,NA,59.2747784045125
"Nuneaton & Bedworth",NA,50.0230946882217,50.7841328413284,59.784138901924,59.2428711897739
"Tonbridge & Malling",NA,55.8002481389578,48.2800241400121,53.3652492255703,59.1347559193218
"North Somerset",NA,74.9319596693204,63.9358350042968,54.974358974359,59.1043175113972
"Gloucester",NA,66.1926605504587,60.3122432210353,64.7108484592655,58.8910891089109
"Leicester City",NA,58.4701303096971,59.744077468442,54.9971198156682,58.4077730763203
"Watford",NA,66.6754201680672,85.1598993891484,54.6125461254613,58.1193731243748
"North Kesteven",NA,91.8840579710145,64.9171270718232,83.5014005602241,58.0901856763926
"Horsham",NA,55.3752535496957,57.3200488003253,57.088122605364,57.9094354677838
"Southwark",NA,53.2626427406199,54.7032143561428,62.7852031861752,57.8772044415415
"Hart",NA,68.3364839319471,71.7228464419476,67.0697674418605,57.4700109051254
"Greenwich",NA,61.545352743561,59.3393536121673,58.9109436365566,57.4019839395371
"Rutland",NA,51.4177693761815,47.1986417657046,49.2091388400703,57.1428571428571
"Test Valley",NA,50.0940910801656,52.7703477264043,57.5990299110752,57.1258435887257
"Wychavon",NA,30.3457536085935,42.8054000658545,48.0436177036562,57.0333333333333
"Waltham Forest",NA,62.616144018583,58.2906608144355,51.8441373704532,56.9156489633627
"Mendip",NA,52.6085493099966,58.7337104492118,58.9778504739303,56.6788099574985
"King's Lynn & West Norfolk",NA,48.5095812633073,48.8956012837455,52.8658406129325,56.4623786407767
"North East Lincolnshire",NA,54.5632973503435,49.8784637822071,53.7934186471664,56.4185544768069
"Solihull",NA,44.9732880038854,45.9435924810467,57.3733590913955,56.3655030800821
"South Hams",NA,42.6608369768894,50.9066930431916,50.6798516687268,55.9182428309945
"Arun",NA,79.7973400886637,58.0882352941177,55.9139784946236,55.8971141781681
"Stockport",NA,71.8337545633249,67.9980979553019,59.0035910526544,55.750273822563
"Mid Suffolk",NA,30.2898550724638,16.2587412587413,45.0166112956811,55.7098765432099
"Newham",NA,50.753553075682,25.0098790800601,39.697008060092,55.6305601502079
"Bromsgrove",NA,52.0572450805009,46.3317384370016,52.0096463022508,55.3618134263296
"Newark & Sherwood",NA,51.4619883040936,54.7112462006079,52.5036818851252,54.954954954955
"Guildford",NA,38.6251115980846,40.9109197714654,43.8512248718157,54.8582650273224
"Elmbridge",NA,55.8608949416342,42.9301137682842,32.6896423799732,54.6982957162598
"Bury",NA,48.2170542635659,51.1941448382126,51.517571884984,53.9447336804165
"Sefton",NA,50.5821985395698,49.4590732802613,50.5035971223022,53.9192900908515
"Huntingdonshire",NA,50.4329896907217,44.3286573146293,52.1538461538462,53.5950252623397
"Warwickshire",NA,49.1543065313557,50.9299363057325,51.0658682634731,53.5722935335432
"Shropshire",NA,47.8013349038084,45.2802501562395,45.8752552073361,53.5512367491166
"Stevenage",NA,43.3296332374329,47.2769654587836,49.3228219122701,53.3939393939394
"South Norfolk",NA,111.326860841424,83.987915407855,93.4177215189873,53.3333333333333
"Northamptonshire",NA,78.6388471137544,58.88161070209,63.7897214593958,53.1386861313869
"Derby City",NA,41.8744625967326,37.8417384925729,49.6156009750609,53.1171101184696
"South Lakeland",NA,45.1725474990306,54.2155425219941,55.6914578812389,53.1062124248497
"East Suffolk",NA,NA,NA,NA,52.9726971166114
"Woking",NA,41.8212478920742,44.7374817695673,46.8846980186202,52.882380288238
"Lambeth",NA,55.2077243729777,43.2756909702556,49.0453317322125,52.7486242695864
"Central Bedfordshire",NA,0,63.4420697412823,49.0247759620453,52.7448869752422
"City of London",NA,45.3110647181628,40.2053712480253,40.7113274411853,52.6574759519482
"Canterbury",NA,49.0246406570842,50.1314820658462,48.8746604578968,52.6463554122907
"Harborough",NA,59.1639871382637,54.9497847919656,57.3867367038739,52.6214833759591
"Worcester",NA,34.6143437077131,37.4966992342223,44.8627450980392,52.5665143778554
"South Tyneside",NA,54.8197203826343,42.7315357561547,55.1982851018221,52.3670368205728
"Maidstone",NA,44.5820433436532,48.4567901234568,50.2488800398208,52.3076923076923
"Allerdale",NA,55.7132188200149,67.7461139896373,51.3711151736746,52.1520578071002
"Devon",NA,54.7330850403476,54.5586950189339,66.5328768740409,51.473603280369
"Newcastle upon Tyne",NA,55.9431067044382,51.0235678651299,49.6680022896394,51.3586650129665
"Amber Valley",NA,57.1026722925457,56.8820224719101,53.8759689922481,51.0480887792848
"Tunbridge Wells",NA,52.6867627785059,44.5399464562491,44.0281030444965,50.5536689797726
"Manchester",NA,46.4154856550294,44.6728088825892,43.9408009286129,50.5172706201594
"Kingston upon Hull",NA,46.3959710418634,38.1687810259239,41.5002698327037,50.1537601341907
"Medway",NA,52.2616997965253,42.6793056190041,49.8751040799334,49.8291432755675
"Southampton",NA,41.5858053784308,29.4044536509581,13.6199682585486,49.7731584591273
"Runnymede",NA,60.6896551724138,56.578947368421,51.0516252390057,49.7326203208556
"Wolverhampton",NA,53.9993470453803,43.0265210608424,46.7218543046358,49.6776273372018
"Harlow",NA,38.61852433281,41.9354838709677,40.8163265306122,49.5697074010327
"West Berkshire",NA,45.29302572262,43.7147255002565,41.3089874318236,49.2957746478873
"Fylde",NA,47.5574712643678,50.0747384155456,43.046357615894,49.2937853107345
"Coventry",NA,57.6612903225806,51.998755638513,55.5392156862745,49.1650155675064
"Torridge",NA,44.9367088607595,44.5660672400313,49.0392006149116,48.4315225707728
"Swindon",NA,51.4940239043825,47.2080354102826,48.6567164179104,48.2279928139801
"Basingstoke & Deane",NA,53.9208364451083,52.0855240098142,54.1737073335586,48.1090289608177
"Gloucestershire",NA,43.3407079646018,47.1622523926107,41.3907897170335,47.6136730087069
"Barking & Dagenham",NA,51.0511452776906,51.8638098033461,45.3746530989824,47.343432059688
"Epsom & Ewell",NA,34.7087950954963,41.4860681114551,42.4905838041431,47.0904645476773
"Barnsley",NA,52.8692879914984,53.3673469387755,48.6396181384248,46.9745958429561
"Richmond upon Thames",NA,38.8181279620853,36.7386400257815,44.7463070006423,46.9705461112149
"Winchester",NA,38.2673117629271,35.9156935346055,36.7984780540834,46.9142776444005
