"auth.name","2015","2016","2017","2018","2019","change","change.4","prop.income"
"Wycombe",NA,NA,NA,2561,2344,-8.47325263568919,NA,69.3491124260355
"Torbay",NA,2574,2598,2349,2340,-0.383141762452112,NA,32.3741007194245
"Wakefield",NA,2217.828526736,2166,2338,2329,-0.384944396920446,NA,63.6686714051394
"North Hertfordshire",NA,2174,2648,1925,2309,19.948051948052,NA,74.7733160621762
"Thanet",NA,2071,2286,2006,2307,15.0049850448654,NA,63.4662998624484
"Oldham",NA,2043,1949,2067,2268,9.72423802612481,NA,93.4872217642209
"Lewisham",NA,2486,2973,2405.60639,2265,-5.84494581426515,NA,27.7539517216027
"Warwick",NA,1647,2062,2177,2240,2.89389067524115,NA,68.8806888068881
"Warwickshire",NA,1889,1999,2132,2212,3.75234521575985,NA,53.5722935335432
"North Somerset",NA,2436.40292,2232,2144,2204,2.79850746268657,NA,59.1043175113972
"New Forest",NA,1923,1952,1986,2187,10.1208459214502,NA,63.4096839663671
"Northumberland",NA,1873,1845,2063,2144,3.92632089190499,NA,101.419110690634
"Cheltenham",NA,1897,1805,2071,2120,2.36600676001932,NA,42.5361155698234
"Worthing",NA,1385,1553,1580,2119,34.1139240506329,NA,75.3020611229566
"Maidstone",NA,1584,1884,2019,2108,4.4081228330857,NA,52.3076923076923
"Ashford",NA,1104,1715.3899,2053.21103,2085,1.54825634265173,NA,75.6531204644412
"East Suffolk",NA,NA,NA,NA,2076,NA,NA,52.9726971166114
"Sandwell",NA,1733,1754,1830,2057,12.4043715846994,NA,88.9321227842629
"Northampton",NA,NA,NA,2518,2055,-18.3876092136616,NA,44.7225244831338
"Tonbridge & Malling",NA,1799,1600,1895,2023,6.75461741424803,NA,59.1347559193218
"Leicestershire",NA,1348,1998,1974,1993,0.962512664640315,NA,101.476578411405
"Worcester",NA,1279,1420,1716,1956,13.986013986014,NA,52.5665143778554
"Scarborough",NA,1495,1341,1461,1931,32.1697467488022,NA,35.4507068110887
"Epsom & Ewell",NA,1472,1742,1805,1926,6.70360110803323,NA,47.0904645476773
"Bolton",NA,1477,1681,1459,1918,31.4599040438657,NA,69.7962154294032
"Bexley",NA,2868,2533,2466,1881,-23.7226277372263,NA,26.8292682926829
"Mendip",NA,1563,1875.89431,1891.16271,1867,-1.27766425766715,NA,56.6788099574985
"Swale",NA,1445,1562,1572,1858,18.1933842239186,NA,69.0193164933135
"Aylesbury Vale",NA,NA,NA,2027,1848,-8.8307844104588,NA,64.7285464098074
"South Hams",NA,1366,1544,1640,1833,11.7682926829268,NA,55.9182428309945
"Wigan",NA,1927,1961,1904,1832,-3.78151260504201,NA,98.3360171765969
"Shepway",NA,1219,1206,1499,1813,20.9472981987992,NA,82.9368709972553
"Waverley",NA,1692,1550,1807,1802,-0.27670171555063,NA,32.5976845151954
"Spelthorne",NA,1660,1533,1524,1796,17.8477690288714,NA,80.107047279215
"Kingston upon Hull",NA,1474,1384,1538,1794,16.6449934980494,NA,50.1537601341907
"Cotswold",NA,1018,795,964,1788,85.4771784232365,NA,77.4025974025974
"Hastings",NA,998,1018,1052,1787,69.8669201520913,NA,68.5199386503067
"West Berkshire",NA,1708,1704,1742,1785,2.46842709529275,NA,49.2957746478873
"Dacorum",NA,1692,1625,1457,1780,22.168840082361,NA,78.51786501985
"Great Yarmouth",NA,2056,2187,1756,1761,0.284738041002285,NA,73.2529118136439
"Fareham",NA,1580,1716,1649.68,1758,6.56612191455315,NA,77.5132275132275
"Cumbria",NA,1002,1132,1418,1753,23.6248236953456,NA,114.053350683149
"Gateshead",NA,1595,1602,1589,1753,10.3209565764632,NA,77.9804270462633
"Watford",NA,2539,2370,1628,1743,7.06388206388206,NA,58.1193731243748
"Salford",NA,1527,1610,1695,1738,2.5368731563422,NA,69.1603660962992
"Rushmoor",NA,1472,1523,1783,1718,-3.64554122265844,NA,67.2933803368586
"Wychavon",NA,904,1300,1498,1711,14.218958611482,NA,57.0333333333333
"Mid Sussex",NA,1380,1499,1492,1705,14.2761394101877,NA,59.304347826087
"Somerset West & Taunton",NA,NA,NA,NA,1671,NA,NA,32.4970828471412
"Allerdale",NA,1492,2092,1686,1660,-1.54211150652431,NA,52.1520578071002
"Stratford-on-Avon",NA,1270,1412,1583,1643,3.79027163613392,NA,61.8599397590361
"Sevenoaks",NA,1557,1542,1546,1613,4.33376455368692,NA,44.4107929515419
"Welwyn Hatfield",NA,1445.18377707792,1489.46163,1536,1591,3.58072916666667,NA,77.609756097561
"Harrogate",NA,1654,1855,1907,1582,-17.0424750917672,NA,44.0545808966862
"Eastbourne",NA,245,224,239,1571,557.322175732218,NA,114.171511627907
"Walsall",NA,891,991,1118,1568,40.2504472271914,NA,74.2775935575557
